cycle,mean,median,max,min,std
0,59.66,60.16,64.89,49.89,4.19
1,60.01,61.87,66.12,50.69,5.41
2,58.35,58.65,68.50,43.00,7.05
3,58.91,59.04,69.44,51.24,4.94
4,57.81,58.25,69.00,45.29,6.27
5,59.18,60.08,69.00,48.00,5.39
6,58.80,58.86,67.53,52.12,5.18
7,57.09,57.09,68.79,48.00,6.38
8,57.62,58.08,68.46,47.17,6.43
9,60.10,60.50,74.00,51.30,7.34
10,62.49,62.25,76.78,52.57,7.09
11,61.45,60.50,76.67,51.79,6.73
12,61.42,61.49,70.67,51.20,5.29
13,62.70,60.97,76.67,56.44,6.41
14,62.87,62.48,74.50,54.80,4.94
15,60.99,60.23,70.00,53.90,5.06
16,58.53,59.29,62.29,50.80,3.53
17,60.31,58.92,73.24,50.46,6.49
18,60.90,60.54,70.19,50.67,5.81
19,61.60,60.37,72.19,55.05,4.73
20,62.76,62.73,69.50,55.07,4.39
21,61.45,61.56,70.43,53.21,5.63
22,60.12,61.30,67.48,46.38,6.79
23,60.36,61.15,67.00,52.00,4.31
24,57.62,57.25,62.12,53.12,2.55
25,61.79,62.08,69.67,53.82,5.12
26,61.82,62.65,69.14,51.77,6.07
27,63.44,64.02,76.05,52.43,6.02
28,57.27,58.15,67.38,48.40,5.71
29,60.77,60.49,75.00,49.75,6.80
30,61.81,61.58,69.57,51.48,5.72
31,58.92,59.48,72.00,46.38,8.75
32,59.74,60.09,74.00,47.71,7.40
33,58.80,58.53,72.38,45.77,6.56
34,59.01,59.33,73.25,47.25,7.18
35,58.63,58.98,71.00,48.47,7.54
36,59.46,58.40,78.22,49.33,8.15
37,60.17,58.91,72.00,48.00,6.97
38,57.26,59.27,68.50,45.11,7.64
39,59.85,60.27,78.83,45.11,10.27
40,61.90,61.16,71.70,51.17,5.98
41,59.66,60.00,65.34,53.10,3.99
42,59.39,60.60,67.40,47.62,5.24
43,57.86,57.73,69.73,48.23,6.76
44,57.44,58.50,67.55,47.60,5.89
45,56.98,58.29,67.90,47.21,6.49
46,61.87,63.04,68.89,47.90,6.37
47,61.54,60.95,72.00,52.91,6.38
48,61.80,60.69,71.71,51.25,6.52
