cycle,mean,median,max,min,std
0,60.30,60.43,61.31,59.04,0.94
1,60.79,60.00,65.70,57.48,3.49
2,58.30,57.78,61.14,56.50,2.05
3,58.70,58.78,61.83,55.41,2.75
4,58.88,59.16,60.07,57.12,1.27
5,63.33,62.17,67.00,61.97,2.45
6,59.06,59.13,59.96,58.03,0.85
7,59.81,59.47,62.48,57.81,2.04
8,59.28,59.28,59.95,58.59,0.71
9,59.61,59.22,63.35,56.67,2.85
10,61.28,61.14,62.53,60.33,1.06
11,59.88,59.96,61.61,58.00,1.65
12,59.43,59.13,61.22,58.23,1.33
13,61.33,61.00,63.38,59.94,1.52
14,59.38,59.63,61.61,56.65,2.05
15,60.75,60.75,61.56,59.92,0.84
16,60.97,60.21,63.46,60.00,1.67
17,58.25,58.60,60.71,55.08,2.40
18,59.04,58.60,61.60,57.35,2.00
19,58.65,58.40,61.27,56.54,2.24
20,61.23,61.47,63.50,58.50,2.19
21,59.89,59.99,62.84,56.71,2.72
22,60.42,60.52,61.79,58.85,1.28
23,60.21,59.46,62.85,59.09,1.78
